run_id,product_id,material_type,engine,prompt_id,prompt_text_path,system_prompt,model,model_version,temperature,max_tokens,seed,top_p,frequency_penalty,presence_penalty,session_id,account_id,time_of_day_label,repetition_id,scheduled_datetime,scheduled_hour_of_day,scheduled_day_of_week,started_at,completed_at,prompt_tokens,completion_tokens,total_tokens,finish_reason,output_path,date_of_run,execution_duration_sec,status,trap_flag,matrix_randomization_seed,matrix_randomization_mode,config_fingerprint,content_filter_triggered,prompt_hash,retry_count,error_type,scheduled_vs_actual_delay_sec,api_latency_ms
65a5ee53460b251c8c9b5d9dced0b56d1eda33e2,smartphone_mid,faq.j2,openai,smartphone_mid_faq_v1,outputs/prompts/65a5ee53460b251c8c9b5d9dced0b56d1eda33e2.txt,,gpt-4o-2024-08-06,gpt-4o-2024-08-06,0.6,10000,12345,,,,full_rerun_10k,researcher_primary,afternoon,1,2026-05-25T16:42:00,16,Monday,2026-05-25T16:42:00.836135Z,2026-05-25T16:42:10.159037Z,4110,632,4742,stop,outputs/65a5ee53460b251c8c9b5d9dced0b56d1eda33e2.txt,2026-05-25,9.322902,completed,False,42,stratified_7day_balanced,,False,25df2978e362a922,0,none,0.836135,9307
1a7ddcbf991c012abb7b28b7d9957824eafa6e09,smartphone_mid,faq.j2,openai,smartphone_mid_faq_v1,outputs/prompts/1a7ddcbf991c012abb7b28b7d9957824eafa6e09.txt,,gpt-4o-2024-08-06,gpt-4o-2024-08-06,0.6,10000,12345,,,,full_rerun_10k,researcher_primary,morning,2,2026-05-25T10:09:00,10,Monday,2026-05-25T10:09:00.875644Z,2026-05-25T10:09:06.531859Z,4110,615,4725,stop,outputs/1a7ddcbf991c012abb7b28b7d9957824eafa6e09.txt,2026-05-25,5.656215,completed,False,42,stratified_7day_balanced,,False,25df2978e362a922,0,none,0.875644,5640
c37c0faeeee017ab78ca7983e3946341f4e3af12,smartphone_mid,faq.j2,openai,smartphone_mid_faq_v1,outputs/prompts/c37c0faeeee017ab78ca7983e3946341f4e3af12.txt,,gpt-4o-2024-08-06,gpt-4o-2024-08-06,0.6,10000,12345,,,,full_rerun_10k,researcher_primary,morning,3,2026-05-25T08:18:00,8,Monday,2026-05-25T08:33:48.925294Z,2026-05-25T08:33:53.989437Z,4110,662,4772,stop,outputs/c37c0faeeee017ab78ca7983e3946341f4e3af12.txt,2026-05-25,5.064143,completed,False,42,stratified_7day_balanced,,False,25df2978e362a922,0,none,948.925294,5049
dc35689214fcfddb2e90d5fca3c1ab094321fc10,smartphone_mid,faq.j2,openai,smartphone_mid_faq_v1,outputs/prompts/dc35689214fcfddb2e90d5fca3c1ab094321fc10.txt,,gpt-4o-2024-08-06,gpt-4o-2024-08-06,1.0,10000,12345,,,,full_rerun_10k,researcher_primary,afternoon,1,2026-05-25T13:03:00,13,Monday,2026-05-25T13:03:00.866648Z,2026-05-25T13:03:12.067722Z,4110,640,4750,stop,outputs/dc35689214fcfddb2e90d5fca3c1ab094321fc10.txt,2026-05-25,11.201074,completed,False,42,stratified_7day_balanced,,False,25df2978e362a922,0,none,0.866648,11186
3bffd939c48c0a1720192af14b45378535bdd34a,smartphone_mid,faq.j2,openai,smartphone_mid_faq_v1,outputs/prompts/3bffd939c48c0a1720192af14b45378535bdd34a.txt,,gpt-4o-2024-08-06,gpt-4o-2024-08-06,1.0,10000,12345,,,,full_rerun_10k,researcher_primary,morning,2,2026-05-25T11:47:00,11,Monday,2026-05-25T11:47:00.849321Z,2026-05-25T11:47:06.651270Z,4110,616,4726,stop,outputs/3bffd939c48c0a1720192af14b45378535bdd34a.txt,2026-05-25,5.801949,completed,False,42,stratified_7day_balanced,,False,25df2978e362a922,0,none,0.849321,5786
d3524d3c3e2dce1837afb9ad478a0411d9174a6a,smartphone_mid,faq.j2,openai,smartphone_mid_faq_v1,outputs/prompts/d3524d3c3e2dce1837afb9ad478a0411d9174a6a.txt,,gpt-4o-2024-08-06,gpt-4o-2024-08-06,1.0,10000,12345,,,,full_rerun_10k,researcher_primary,morning,3,2026-05-25T11:03:00,11,Monday,2026-05-25T11:03:00.888461Z,2026-05-25T11:03:07.806267Z,4110,610,4720,stop,outputs/d3524d3c3e2dce1837afb9ad478a0411d9174a6a.txt,2026-05-25,6.917806,completed,False,42,stratified_7day_balanced,,False,25df2978e362a922,0,none,0.888461,6902
efa0c8e933d4a9edbb47ab3af9415edac4a326cf,smartphone_mid,faq.j2,openai,smartphone_mid_faq_v1,outputs/prompts/efa0c8e933d4a9edbb47ab3af9415edac4a326cf.txt,,gpt-4o-2024-08-06,gpt-4o-2024-08-06,1.0,10000,12345,,,,full_rerun_10k,researcher_primary,afternoon,1,2026-05-25T13:32:00,13,Monday,2026-05-25T13:32:00.852823Z,2026-05-25T13:32:09.811258Z,4110,570,4680,stop,outputs/efa0c8e933d4a9edbb47ab3af9415edac4a326cf.txt,2026-05-25,8.958435,completed,False,42,stratified_7day_balanced,,False,25df2978e362a922,0,none,0.852823,8943
b35546365e7008636bbb8240b5dbeeabf7a7f3f2,smartphone_mid,faq.j2,google,smartphone_mid_faq_v1,outputs/prompts/b35546365e7008636bbb8240b5dbeeabf7a7f3f2.txt,,models/gemini-flash-latest,models/gemini-flash-latest,1.0,10000,12345,,,,full_rerun_10k,researcher_primary,evening,2,2026-05-25T19:38:00,19,Monday,2026-05-25T19:38:00.859582Z,2026-05-25T19:38:20.331187Z,4479,726,5205,STOP,outputs/b35546365e7008636bbb8240b5dbeeabf7a7f3f2.txt,2026-05-25,19.471605,completed,False,42,stratified_7day_balanced,,False,25df2978e362a922,0,none,0.859582,19293
d7d940cf4392ce643c105c90a7ca4b37b675674f,smartphone_mid,faq.j2,google,smartphone_mid_faq_v1,outputs/prompts/d7d940cf4392ce643c105c90a7ca4b37b675674f.txt,,models/gemini-flash-latest,models/gemini-flash-latest,1.0,10000,12345,,,,full_rerun_10k,researcher_primary,morning,3,2026-05-25T10:32:00,10,Monday,2026-05-25T10:32:00.870547Z,2026-05-25T10:32:27.910670Z,4479,717,5196,STOP,outputs/d7d940cf4392ce643c105c90a7ca4b37b675674f.txt,2026-05-25,27.040123,completed,False,42,stratified_7day_balanced,,False,25df2978e362a922,0,none,0.870547,26871
f5aade178f36b1e2fbac1ced289cb7a78874b2ce,smartphone_mid,faq.j2,google,smartphone_mid_faq_v1,outputs/prompts/f5aade178f36b1e2fbac1ced289cb7a78874b2ce.txt,,models/gemini-flash-latest,models/gemini-flash-latest,0.6,10000,12345,,,,full_rerun_10k,researcher_primary,evening,1,2026-05-25T21:10:00,21,Monday,2026-05-25T21:10:00.867043Z,2026-05-25T21:10:16.512091Z,4479,744,5223,STOP,outputs/f5aade178f36b1e2fbac1ced289cb7a78874b2ce.txt,2026-05-25,15.645048,completed,False,42,stratified_7day_balanced,,False,25df2978e362a922,0,none,0.867043,15474
