Filename,Status,Violated_Rule,Extracted_Claim,Confidence_Score,Claude_Explanation,Severity,Recommended_Action,run_id,product_id,material_type,extraction_retry_count,extraction_error_type,extraction_api_latency_ms,extraction_prompt_tokens,extraction_completion_tokens,extraction_model_version
65a5ee53460b251c8c9b5d9dced0b56d1eda33e2.txt,FAIL,Ultra-wide camera is 12 MP,Nova X5 5G Smartphone features a 50 MP main camera,1.0000,,,,65a5ee53460b251c8c9b5d9dced0b56d1eda33e2,smartphone_mid,faq.j2,0,none,6724,1500,669,gpt-4o-2024-08-06
65a5ee53460b251c8c9b5d9dced0b56d1eda33e2.txt,FAIL,Main camera is 50 MP,Nova X5 5G Smartphone features a 12 MP ultra-wide camera,1.0000,,,,65a5ee53460b251c8c9b5d9dced0b56d1eda33e2,smartphone_mid,faq.j2,0,none,6724,1500,669,gpt-4o-2024-08-06
65a5ee53460b251c8c9b5d9dced0b56d1eda33e2.txt,FAIL,Main camera is 50 MP,Nova X5 5G Smartphone features a 10.8 MP front-facing camera,1.0000,,,,65a5ee53460b251c8c9b5d9dced0b56d1eda33e2,smartphone_mid,faq.j2,0,none,6724,1500,669,gpt-4o-2024-08-06
65a5ee53460b251c8c9b5d9dced0b56d1eda33e2.txt,FAIL,Does NOT support expandable storage,Nova X5 5G Smartphone offers internal storage options of 128 GB,0.9754,,,,65a5ee53460b251c8c9b5d9dced0b56d1eda33e2,smartphone_mid,faq.j2,0,none,6724,1500,669,gpt-4o-2024-08-06
65a5ee53460b251c8c9b5d9dced0b56d1eda33e2.txt,FAIL,Does NOT support expandable storage,Nova X5 5G Smartphone offers internal storage options of 256 GB,0.9822,,,,65a5ee53460b251c8c9b5d9dced0b56d1eda33e2,smartphone_mid,faq.j2,0,none,6724,1500,669,gpt-4o-2024-08-06
65a5ee53460b251c8c9b5d9dced0b56d1eda33e2.txt,FAIL,Does NOT support expandable storage,Nova X5 5G Smartphone offers internal storage options of 512 GB,0.9800,,,,65a5ee53460b251c8c9b5d9dced0b56d1eda33e2,smartphone_mid,faq.j2,0,none,6724,1500,669,gpt-4o-2024-08-06
65a5ee53460b251c8c9b5d9dced0b56d1eda33e2.txt,FAIL,Display is NOT 6.5 inches,"Nova X5 5G Smartphone is equipped with a 6.3"" Actua OLED display",0.9674,,,,65a5ee53460b251c8c9b5d9dced0b56d1eda33e2,smartphone_mid,faq.j2,0,none,6724,1500,669,gpt-4o-2024-08-06
65a5ee53460b251c8c9b5d9dced0b56d1eda33e2.txt,FAIL,Uses Tensor G4 chipset,Nova X5 5G Smartphone enhances security with the Titan M2 security coprocessor,0.9808,,,,65a5ee53460b251c8c9b5d9dced0b56d1eda33e2,smartphone_mid,faq.j2,0,none,6724,1500,669,gpt-4o-2024-08-06
65a5ee53460b251c8c9b5d9dced0b56d1eda33e2.txt,FAIL,No wireless charging capability,Nova X5 5G Smartphone has a battery capacity ranging from 4700 to 5000 mAh depending on the region,0.9934,,,,65a5ee53460b251c8c9b5d9dced0b56d1eda33e2,smartphone_mid,faq.j2,0,none,6724,1500,669,gpt-4o-2024-08-06
65a5ee53460b251c8c9b5d9dced0b56d1eda33e2.txt,FAIL,No wireless charging capability,Nova X5 5G Smartphone supports 30–45W USB-C fast charging,0.9989,,,,65a5ee53460b251c8c9b5d9dced0b56d1eda33e2,smartphone_mid,faq.j2,0,none,6724,1500,669,gpt-4o-2024-08-06
