run_id,video_id,channel_id,channel_niche,comment_db_id,comment_rank,rank,is_skeptical,top_comment_skeptical,top_comment_like_count,top_comment_like_count_z,hours_since_top_comment,hours_since_top_comment_z,comment_timestamp,top_comment_timestamp,comment_text
11,0-0gFuDwmXI,UCwAnu01qlnVg1Ai2AbtTMaA,Tech,4996,2,2,0,0,121,-0.2099033503651204,0.0,-0.2229857041672314,2025-10-12 22:07:20+00:00,2025-11-17 22:45:37+00:00,Hey my friend...how is your new gig? Settle in yet?
11,0-0gFuDwmXI,UCwAnu01qlnVg1Ai2AbtTMaA,Tech,4997,3,3,0,0,121,-0.2099033503651204,0.0,-0.2229857041672314,2025-10-07 16:34:24+00:00,2025-11-17 22:45:37+00:00,"Yes, I want the tutorial on gems and custom GPT. I await your tutorials. You are the best 💚"
11,0-0gFuDwmXI,UCwAnu01qlnVg1Ai2AbtTMaA,Tech,4999,5,4,0,0,121,-0.2099033503651204,0.0,-0.2229857041672314,2025-10-11 21:35:04+00:00,2025-11-17 22:45:37+00:00,This is hands down one of the most realistic breakdowns of the current AI-video landscape. You perfectly explained why “character consistency” is the real bottleneck — not model power. Massive respect for showing an actual workflow instead of hype.
11,0-0gFuDwmXI,UCwAnu01qlnVg1Ai2AbtTMaA,Tech,5003,9,5,0,0,121,-0.2099033503651204,0.0,-0.2229857041672314,2025-10-07 12:29:27+00:00,2025-11-17 22:45:37+00:00,📈 Grab my AI Toolkit - https://academy.jeffsu.org/ai-toolkit?utm_source=youtube&utm_medium=video&utm_campaign=190 TIMESTAMPS 00:00 The Reality of the AI Video Landscape 00:25 Bottom Line Up Front 04:15 Step 1 06:34 Step 2 08:53 Step 3 12:43 Step 4 14:56 Final Thoughts 16:09 Sora 2 Rollout and Implications
20,0JnWV5n1TJA,UC2UXDak6o7rBm23k3Vv5dww,Tech,19065,2,2,0,1,2,-0.21645413110855813,0.0,-0.2229857041672314,2026-03-05 15:52:06+00:00,2026-03-05 17:02:33+00:00,"Tax and government forms, I don't know how I even managed without AI before"
20,0JnWV5n1TJA,UC2UXDak6o7rBm23k3Vv5dww,Tech,19066,3,3,0,1,2,-0.21645413110855813,0.18333333333333332,-0.22287274734376974,2026-03-05 17:13:33+00:00,2026-03-05 17:02:33+00:00,I also don’t think I’ve written proper code in a minute and I’m worried 😅
20,0JnWV5n1TJA,UC2UXDak6o7rBm23k3Vv5dww,Tech,19067,4,4,0,1,2,-0.21645413110855813,2.88,-0.22121125515866985,2026-03-05 19:55:21+00:00,2026-03-05 17:02:33+00:00,I didn’t even know that before Tina
20,0JnWV5n1TJA,UC2UXDak6o7rBm23k3Vv5dww,Tech,19068,5,5,0,1,2,-0.21645413110855813,11.863055555555556,-0.21567654195575003,2026-03-06 04:54:20+00:00,2026-03-05 17:02:33+00:00,I just build my own apps for things. Like theres no chess game with the rules I made. Also anyone want an openclaw installer I'm working on ? I'm testing it now.😂
20,0JnWV5n1TJA,UC2UXDak6o7rBm23k3Vv5dww,Tech,19069,6,6,0,1,2,-0.21645413110855813,0.43166666666666664,-0.22271974219198984,2026-03-05 17:28:27+00:00,2026-03-05 17:02:33+00:00,💜🐈‍⬛️
20,0JnWV5n1TJA,UC2UXDak6o7rBm23k3Vv5dww,Tech,19070,7,7,1,1,2,-0.21645413110855813,0.44666666666666666,-0.22271050027007025,2026-03-05 17:29:21+00:00,2026-03-05 17:02:33+00:00,"aint no way you practice talking with ai bruh, you really need to realize its taking your brain"
