term,coef_log_odds,sd,z_approx,p_value_approx,odds_ratio,or_ci_95_low,or_ci_95_high
Intercept,-2.8889461030785073,0.12175087064058003,-23.728340404291206,1.839056379855317e-124,0.05563481508592209,0.0438238184343612,0.07062900404903666
"C(channel_niche, Treatment(reference='Lifestyle'))[T.Beauty]",-1.700602986210416,0.25232729316795954,-6.7396711820564885,1.587454698131036e-11,0.1825734016113541,0.11134024666370627,0.2993800352950575
"C(channel_niche, Treatment(reference='Lifestyle'))[T.Tech]",0.2565102664476188,0.17834700702918466,1.438265047002687,0.15035886527090117,1.292412034212021,0.9111480626424839,1.8332134311209718
top_comment_skeptical,1.6656530616807943,0.2114623701486929,7.876829624625723,3.3579229081112913e-15,5.2891262478050125,3.494487812093939,8.005423961818616
"top_comment_skeptical:C(channel_niche, Treatment(reference='Lifestyle'))[T.Beauty]",3.708234798060252,0.31403785778655313,11.808241287203927,3.538862001914797e-32,40.781754919989986,22.03695015084157,75.47103945736399
"top_comment_skeptical:C(channel_niche, Treatment(reference='Lifestyle'))[T.Tech]",-1.3259232537111458,0.3874182504922232,-3.4224594531272903,0.0006205735272585666,0.2655576687705363,0.12427442862531468,0.567460870453576
top_comment_like_count_z,-1.5359612848987059,0.5072444743294987,-3.0280493186821147,0.0024613791351928396,0.21524867638351558,0.07964623965627725,0.5817222870132551
top_comment_skeptical:top_comment_like_count_z,-0.43183355031379467,0.9374710169968579,-0.46063669434512455,0.645059280611334,0.6493174463760117,0.10338692830349308,4.078012115135256
hours_since_top_comment_z,-0.025225479802296932,0.14166918732948966,-0.17805904217992244,0.8586766075580854,0.9750900241332614,0.7386751117542708,1.2871701510372529
top_comment_skeptical:hours_since_top_comment_z,0.4119725641392172,0.5013681872463086,0.8216966585014422,0.4112495614279168,1.5097930132895856,0.5651245764411301,4.0335795645856205
